Player,Leauge,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Height,PPG
Adia Barnes,WNBA,2003,26,SEA,16,16,396,32,84,20,53,12,31,12,21,26,39,65,23,11,7,18,36,88,0.381,0.377,0.387,0.571,0.472,0.452,F,180.34,5.5
Adrian Williams-Strong,WNBA,2003,26,PHO,34,33,985,141,351,141,350,0,1,52,85,68,184,252,31,57,19,73,95,334,0.402,0.403,0,0.612,0.43,0.402,C-F,195.58,9.82
Adrienne Goodson,WNBA,2003,36,SAS,33,32,969,141,357,133,321,8,36,81,102,74,111,185,71,24,6,85,96,371,0.395,0.414,0.222,0.794,0.462,0.406,F,182.88,11.24
Adrienne Johnson,WNBA,2003,29,CON,34,5,584,69,195,52,146,17,49,18,24,23,35,58,18,17,1,21,36,173,0.354,0.356,0.347,0.75,0.421,0.397,G,177.8,5.09
Aiysha Smith,WNBA,2003,22,WAS,31,2,422,41,120,36,86,5,34,17,34,21,44,65,10,11,9,26,44,104,0.342,0.419,0.147,0.5,0.385,0.363,F,187.96,3.35
Alisa Burras,WNBA,2003,28,SEA,27,2,270,35,75,35,75,0,0,19,27,27,34,61,5,5,5,25,58,89,0.467,0.467,,0.704,0.512,0.467,C,190.5,3.3
Allison Feaster,WNBA,2003,27,CHA,34,34,1096,142,378,70,173,72,205,66,78,37,76,113,73,52,9,72,75,422,0.376,0.405,0.351,0.846,0.512,0.471,F,180.34,12.41
Amanda Lassiter,WNBA,2003,24,SEA,32,18,733,60,156,36,83,24,73,19,30,33,79,112,42,27,26,42,92,163,0.385,0.434,0.329,0.633,0.482,0.462,F,185.42,5.09
Andrea Stinson,WNBA,2003,35,CHA,34,34,1000,147,321,124,246,23,75,60,79,28,112,140,97,48,5,75,70,377,0.458,0.504,0.307,0.759,0.53,0.494,G,177.8,11.09
Anna DeForge,WNBA,2003,27,PHO,34,27,1065,147,357,86,209,61,148,50,69,32,73,105,72,51,12,53,61,405,0.412,0.411,0.412,0.725,0.523,0.497,G,177.8,11.91
Annie La Fleur,WNBA,2003,34,WAS,34,33,841,50,134,34,76,16,58,15,25,24,55,79,112,27,1,52,47,131,0.373,0.447,0.276,0.6,0.452,0.433,G,170.18,3.85
Asjha Jones,WNBA,2003,22,WAS,34,10,748,121,279,114,262,7,17,41,55,62,73,135,52,16,25,63,109,290,0.434,0.435,0.412,0.745,0.478,0.446,F,187.96,8.53
Astou Ndiaye-Diatta,WNBA,2003,29,DET,11,2,70,10,21,10,21,0,0,0,2,5,9,14,1,3,1,9,3,20,0.476,0.476,,0,0.457,0.476,F,190.5,1.82
Ayana Walker,WNBA,2003,23,DET,34,1,271,24,70,24,70,0,0,8,21,34,37,71,10,10,11,19,33,56,0.343,0.343,,0.381,0.353,0.343,F,190.5,1.65
Barbara Farris,WNBA,2003,26,DET,34,0,522,43,99,43,99,0,0,41,63,29,53,82,23,10,4,41,62,127,0.434,0.434,,0.651,0.501,0.434,F-C,190.5,3.74
Becky Hammon,WNBA,2003,26,NYL,11,2,257,50,87,27,38,23,49,39,41,1,20,21,18,10,1,27,13,162,0.575,0.711,0.469,0.951,0.771,0.707,G,167.64,14.73
Bethany Donaphin,WNBA,2003,22,NYL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,F-C,187.96,0
Betty Lennox,WNBA,2003,26,CLE,34,1,560,100,269,68,166,32,103,26,36,19,70,89,32,14,4,58,77,258,0.372,0.41,0.311,0.722,0.453,0.431,G,172.72,7.59
Bridget Pettis,WNBA,2003,32,IND,31,0,148,15,52,9,25,6,27,13,17,5,14,19,8,4,1,8,17,49,0.288,0.36,0.222,0.765,0.412,0.346,G,175.26,1.58
Brooke Wyckoff,WNBA,2003,23,CON,34,22,755,55,142,35,72,20,70,26,36,48,98,146,35,33,19,39,109,156,0.387,0.486,0.286,0.722,0.494,0.458,F,185.42,4.59
Chamique Holdsclaw,WNBA,2003,25,WAS,27,27,948,204,480,198,445,6,35,140,155,72,222,294,89,34,15,72,74,554,0.425,0.445,0.171,0.903,0.505,0.431,F,187.96,20.52
Chandra Johnson,WNBA,2003,22,LAS,8,0,45,1,5,0,0,1,5,3,4,2,4,6,3,0,1,4,6,6,0.2,,0.2,0.75,0.444,0.3,C,190.5,0.75
Chantelle Anderson,WNBA,2003,22,SAC,26,0,171,19,44,19,44,0,0,4,12,7,17,24,5,5,5,17,33,42,0.432,0.432,,0.333,0.426,0.432,C,198.12,1.62
Charlotte Smith,WNBA,2003,29,CHA,27,9,443,31,98,22,66,9,32,24,36,23,37,60,18,10,2,24,54,95,0.316,0.333,0.281,0.667,0.417,0.362,F,182.88,3.52
Charmin Smith,WNBA,2003,28,PHO,4,0,17,0,2,0,0,0,2,0,0,1,3,4,1,0,0,0,2,0,0,,0,,0,0,G,177.8,0
Chasity Melvin,WNBA,2003,27,CLE,34,34,1061,159,333,156,322,3,11,123,176,82,133,215,52,28,22,67,108,444,0.477,0.484,0.273,0.699,0.541,0.482,C-F,190.5,13.06
Cheryl Ford,WNBA,2003,22,DET,32,32,956,128,270,128,270,0,0,88,129,99,235,334,27,32,31,79,109,344,0.474,0.474,,0.682,0.526,0.474,F,190.5,10.75
Coco Miller,WNBA,2003,24,WAS,33,33,1076,172,382,140,293,32,89,37,53,55,72,127,86,39,7,53,95,413,0.45,0.478,0.36,0.698,0.509,0.492,G,175.26,12.52
Coquese Washington,WNBA,2003,32,IND,20,10,348,19,67,5,19,14,48,11,13,2,27,29,48,14,2,30,32,63,0.284,0.263,0.292,0.846,0.433,0.388,G,167.64,3.15
Coretta Brown,WNBA,2003,22,IND,30,2,522,61,164,25,64,36,100,28,33,11,30,41,31,21,4,36,30,186,0.372,0.391,0.36,0.848,0.521,0.482,G,175.26,6.2
Courtney Coleman,WNBA,2003,22,CON,20,0,141,11,20,11,20,0,0,14,30,8,14,22,1,8,2,13,18,36,0.55,0.55,,0.467,0.542,0.55,F,182.88,1.8
Crystal Robinson,WNBA,2003,29,NYL,33,33,1078,143,326,81,158,62,168,47,56,13,57,70,63,40,13,43,94,395,0.439,0.513,0.369,0.839,0.563,0.534,F,180.34,11.97
